text,label
guardians of the galaxy action adventure sci fi a group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe,1
prometheus adventure mystery sci fi following clues to the origin of mankind a team finds a structure on a distant moon but they soon realize they are not alone,1
split horror thriller three girls are kidnapped by a man with a diagnosed 23 distinct personalities they must try to escape before the apparent emergence of a frightful new 24th,0
sing animation comedy family in a city of humanoid animals a hustling theater impresario s attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same,1
suicide squad action adventure fantasy a secret government agency recruits some of the most dangerous incarcerated super villains to form a defensive task force their first mission save the world from the apocalypse,0
the great wall action adventure fantasy european mercenaries searching for black powder become embroiled in the defense of the great wall of china against a horde of monstrous creatures,0
la la land comedy drama music a jazz pianist falls for an aspiring actress in los angeles,0
mindhorn comedy a has been actor best known for playing the title character in the 1980s detective series mindhorn must work with the police when a serial killer says that he will only speak with detective mindhorn whom he believes to be a real person,0
the lost city of z action adventure biography a true life drama centering on british explorer col percival fawcett who disappeared while searching for a mysterious city in the amazon in the 1920s,0
passengers adventure drama romance a spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers as a result two passengers are awakened 90 years early,1
fantastic beasts and where to find them adventure family fantasy the adventures of writer newt scamander in new york s secret community of witches and wizards seventy years before harry potter reads his book in school,0
hidden figures biography drama history the story of a team of female african american mathematicians who served a vital role in nasa during the early years of the u s space program,1
rogue one action adventure sci fi the rebel alliance makes a risky move to steal the plans for the death star setting up the epic saga to follow,1
moana animation adventure comedy in ancient polynesia when a terrible curse incurred by the demigod maui reaches an impetuous chieftain s daughter s island she answers the ocean s call to seek out the demigod to set things right,1
colossal action comedy drama gloria is an out of work party girl forced to leave her life in new york city and move back home when reports surface that a giant creature is destroying seoul she gradually comes to the realization that she is somehow connected to this phenomenon,1
the secret life of pets animation adventure comedy the quiet life of a terrier named max is upended when his owner takes in duke a stray whom max instantly dislikes,1
hacksaw ridge biography drama history wwii american army medic desmond t doss who served during the battle of okinawa refuses to kill people and becomes the first man in american history to receive the medal of honor without firing a shot,1
jason bourne action thriller the cia s most dangerous former operative is drawn out of hiding to uncover more explosive truths about his past,0
lion biography drama a five year old indian boy gets lost on the streets of calcutta thousands of kilometers from home he survives many challenges before being adopted by a couple in australia 25 years later he sets out to find his lost family,0
arrival drama mystery sci fi when twelve mysterious spacecraft appear around the world linguistics professor louise banks is tasked with interpreting the language of the apparent alien visitors,0
gold adventure drama thriller kenny wells a prospector desperate for a lucky break teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of indonesia,1
manchester by the sea drama a depressed uncle is asked to take care of his teenage nephew after the boy s father dies,0
hounds of love crime drama horror a cold blooded predatory couple while cruising the streets in search of their next victim will stumble upon a 17 year old high school girl who will be sedated abducted and chained in the strangers guest room,0
trolls animation adventure comedy after the bergens invade troll village poppy the happiest troll ever born and the curmudgeonly branch set off on a journey to rescue her friends,1
independence day resurgence action adventure sci fi two decades after the first independence day invasion earth is faced with a new extra solar threat but will mankind s new space defenses be enough,1
paris pieds nus comedy fiona visits paris for the first time to assist her myopic aunt martha catastrophes ensue mainly involving dom a homeless man who has yet to have an emotion or thought he was afraid of expressing,1
bahubali the beginning action adventure drama in ancient india an adventurous and daring man becomes involved in a decades old feud between two warring people,1
dead awake horror thriller a young woman must save herself and her friends from an ancient evil that stalks its victims through the real life phenomenon of sleep paralysis,0
bad moms comedy when three overworked and under appreciated moms are pushed beyond their limits they ditch their conventional responsibilities for a jolt of long overdue freedom fun and comedic self indulgence,0
assassin s creed action adventure drama when callum lynch explores the memories of his ancestor aguilar and gains the skills of a master assassin he discovers he is a descendant of the secret assassins society,0
why him comedy a holiday gathering threatens to go off the rails when ned fleming realizes that his daughter s silicon valley millionaire boyfriend is about to pop the question,1
